Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Austria,100.0,105.0,95.0,97.0,102.0,111.0,116.0,123.0,116.0,112.0,117.0,119.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Belgium,101.0,101.0,97.0,112.0,105.0,101.0,84.0,85.0,66.0,49.0,46.0,41.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Bulgaria,235.0,36.0,28.0,23.0,47.0,109.0,90.0,154.0,164.0,106.0,80.0,64.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Cyprus,107.0,97.0,95.0,91.0,91.0,92.0,92.0,89.0,92.0,79.0,71.0,62.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Czechia,116.0,96.0,88.0,85.0,93.0,84.0,71.0,73.0,65.0,45.0,35.0,42.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Germany,101.0,103.0,96.0,105.0,103.0,96.0,97.0,84.0,82.0,70.0,68.0,68.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Denmark,88.0,122.0,90.0,42.0,52.0,51.0,54.0,53.0,53.0,53.0,50.0,57.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Estonia,90.0,104.0,106.0,122.0,143.0,177.0,162.0,141.0,160.0,152.0,132.0,114.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Greece,86.0,89.0,125.0,54.0,58.0,61.0,61.0,63.0,60.0,51.0,43.0,37.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Spain,111.0,92.0,97.0,106.0,105.0,89.0,70.0,75.0,85.0,77.0,65.0,35.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",109.0,99.0,93.0,98.0,99.0,93.0,86.0,85.0,79.0,68.0,61.0,50.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",European Union - 27 countries (from 2020),108.0,98.0,94.0,98.0,99.0,94.0,86.0,86.0,80.0,68.0,61.0,50.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",European Union - 28 countries (2013-2020),109.0,99.0,93.0,98.0,99.0,93.0,86.0,85.0,79.0,:,:,:
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Finland,97.0,100.0,103.0,107.0,121.0,130.0,125.0,136.0,111.0,130.0,109.0,88.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",France,100.0,99.0,100.0,110.0,103.0,102.0,92.0,105.0,60.0,65.0,66.0,64.0
